Id,Tweet,Sentiment
1,"Sentiment(polarity=0.0, subjectivity=0.0)","RT @RoadsOfMumbai: Causes of traffic in Mumbai, Navi Mumbai &amp; Thane:
25% Overpopulation
25% Undisciplined drivers
25% No fear of law
25% La…"
"Sentiment(polarity=0.26, subjectivity=1.0)",@MirchiJeeturaaj Thane ghodbunder road. No traffic.. Very unusual #trafficbatao,2
"Sentiment(polarity=-0.2, subjectivity=0.7)",3,@rajanvichare sir rqstt pls look into issue of commuters at Thane Stn.  access to station under statis n Alok Hotel completely blocked morn peak hrs by autos. Need traffic policemen to monitor autos in morning peak hrs. Difficult to get comlaints to the thane traffic dept Or TMC
